func,cwe
"void CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_22_badSink(int data)
{
    if(CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_22_badGlobal)
    {
        {
            int i;
            int buffer[10] = { 0 };
            /* POTENTIAL FLAW: Attempt to write to an index of the array that is above the upper bound
            * This code does check to see if the array index is negative */
            if (data >= 0)
            {
                buffer[data] = 1;
                /* Print the array values */
                for(i = 0; i < 10; i++)
                {
                    printIntLine(buffer[i]);
                }
            }
            else
            {
                printLine(""ERROR: Array index is negative."");
            }
        }
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_51b_badSink(int data)
{
    {
        int i;
        int buffer[10] = { 0 };
        /* POTENTIAL FLAW: Attempt to write to an index of the array that is above the upper bound
        * This code does check to see if the array index is negative */
        if (data >= 0)
        {
            buffer[data] = 1;
            /* Print the array values */
            for(i = 0; i < 10; i++)
            {
                printIntLine(buffer[i]);
            }
        }
        else
        {
            printLine(""ERROR: Array index is negative."");
        }
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_52b_badSink(int data)
{
    CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_52c_badSink(data);
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_52c_badSink(int data)
{
    {
        int i;
        int buffer[10] = { 0 };
        /* POTENTIAL FLAW: Attempt to write to an index of the array that is above the upper bound
        * This code does check to see if the array index is negative */
        if (data >= 0)
        {
            buffer[data] = 1;
            /* Print the array values */
            for(i = 0; i < 10; i++)
            {
                printIntLine(buffer[i]);
            }
        }
        else
        {
            printLine(""ERROR: Array index is negative."");
        }
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_53b_badSink(int data)
{
    CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_53c_badSink(data);
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_53c_badSink(int data)
{
    CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_53d_badSink(data);
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_53d_badSink(int data)
{
    {
        int i;
        int buffer[10] = { 0 };
        /* POTENTIAL FLAW: Attempt to write to an index of the array that is above the upper bound
        * This code does check to see if the array index is negative */
        if (data >= 0)
        {
            buffer[data] = 1;
            /* Print the array values */
            for(i = 0; i < 10; i++)
            {
                printIntLine(buffer[i]);
            }
        }
        else
        {
            printLine(""ERROR: Array index is negative."");
        }
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_54b_badSink(int data)
{
    CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_54c_badSink(data);
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_54c_badSink(int data)
{
    CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_54d_badSink(data);
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_54d_badSink(int data)
{
    CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_54e_badSink(data);
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_54e_badSink(int data)
{
    {
        int i;
        int buffer[10] = { 0 };
        /* POTENTIAL FLAW: Attempt to write to an index of the array that is above the upper bound
        * This code does check to see if the array index is negative */
        if (data >= 0)
        {
            buffer[data] = 1;
            /* Print the array values */
            for(i = 0; i < 10; i++)
            {
                printIntLine(buffer[i]);
            }
        }
        else
        {
            printLine(""ERROR: Array index is negative."");
        }
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_63b_badSink(int * dataPtr)
{
    int data = *dataPtr;
    {
        int i;
        int buffer[10] = { 0 };
        /* POTENTIAL FLAW: Attempt to write to an index of the array that is above the upper bound
        * This code does check to see if the array index is negative */
        if (data >= 0)
        {
            buffer[data] = 1;
            /* Print the array values */
            for(i = 0; i < 10; i++)
            {
                printIntLine(buffer[i]);
            }
        }
        else
        {
            printLine(""ERROR: Array index is negative."");
        }
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_64b_badSink(void * dataVoidPtr)
{
    /* cast void pointer to a pointer of the appropriate type */
    int * dataPtr = (int *)dataVoidPtr;
    /* dereference dataPtr into data */
    int data = (*dataPtr);
    {
        int i;
        int buffer[10] = { 0 };
        /* POTENTIAL FLAW: Attempt to write to an index of the array that is above the upper bound
        * This code does check to see if the array index is negative */
        if (data >= 0)
        {
            buffer[data] = 1;
            /* Print the array values */
            for(i = 0; i < 10; i++)
            {
                printIntLine(buffer[i]);
            }
        }
        else
        {
            printLine(""ERROR: Array index is negative."");
        }
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_65b_badSink(int data)
{
    {
        int i;
        int buffer[10] = { 0 };
        /* POTENTIAL FLAW: Attempt to write to an index of the array that is above the upper bound
        * This code does check to see if the array index is negative */
        if (data >= 0)
        {
            buffer[data] = 1;
            /* Print the array values */
            for(i = 0; i < 10; i++)
            {
                printIntLine(buffer[i]);
            }
        }
        else
        {
            printLine(""ERROR: Array index is negative."");
        }
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_66b_badSink(int dataArray[])
{
    /* copy data out of dataArray */
    int data = dataArray[2];
    {
        int i;
        int buffer[10] = { 0 };
        /* POTENTIAL FLAW: Attempt to write to an index of the array that is above the upper bound
        * This code does check to see if the array index is negative */
        if (data >= 0)
        {
            buffer[data] = 1;
            /* Print the array values */
            for(i = 0; i < 10; i++)
            {
                printIntLine(buffer[i]);
            }
        }
        else
        {
            printLine(""ERROR: Array index is negative."");
        }
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_67b_badSink(CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_67_structType myStruct)
{
    int data = myStruct.structFirst;
    {
        int i;
        int buffer[10] = { 0 };
        /* POTENTIAL FLAW: Attempt to write to an index of the array that is above the upper bound
        * This code does check to see if the array index is negative */
        if (data >= 0)
        {
            buffer[data] = 1;
            /* Print the array values */
            for(i = 0; i < 10; i++)
            {
                printIntLine(buffer[i]);
            }
        }
        else
        {
            printLine(""ERROR: Array index is negative."");
        }
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_68b_badSink()
{
    int data = CWE121_Stack_Based_Buffer_Overflow__CWE129_listen_socket_68_badData;
    {
        int i;
        int buffer[10] = { 0 };
        /* POTENTIAL FLAW: Attempt to write to an index of the array that is above the upper bound
        * This code does check to see if the array index is negative */
        if (data >= 0)
        {
            buffer[data] = 1;
            /* Print the array values */
            for(i = 0; i < 10; i++)
            {
                printIntLine(buffer[i]);
            }
        }
        else
        {
            printLine(""ERROR: Array index is negative."");
        }
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE129_rand_22_badSink(int data)
{
    if(CWE121_Stack_Based_Buffer_Overflow__CWE129_rand_22_badGlobal)
    {
        {
            int i;
            int buffer[10] = { 0 };
            /* POTENTIAL FLAW: Attempt to write to an index of the array that is above the upper bound
            * This code does check to see if the array index is negative */
            if (data >= 0)
            {
                buffer[data] = 1;
                /* Print the array values */
                for(i = 0; i < 10; i++)
                {
                    printIntLine(buffer[i]);
                }
            }
            else
            {
                printLine(""ERROR: Array index is negative."");
            }
        }
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE129_rand_51b_badSink(int data)
{
    {
        int i;
        int buffer[10] = { 0 };
        /* POTENTIAL FLAW: Attempt to write to an index of the array that is above the upper bound
        * This code does check to see if the array index is negative */
        if (data >= 0)
        {
            buffer[data] = 1;
            /* Print the array values */
            for(i = 0; i < 10; i++)
            {
                printIntLine(buffer[i]);
            }
        }
        else
        {
            printLine(""ERROR: Array index is negative."");
        }
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE129_rand_52b_badSink(int data)
{
    CWE121_Stack_Based_Buffer_Overflow__CWE129_rand_52c_badSink(data);
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE129_rand_52c_badSink(int data)
{
    {
        int i;
        int buffer[10] = { 0 };
        /* POTENTIAL FLAW: Attempt to write to an index of the array that is above the upper bound
        * This code does check to see if the array index is negative */
        if (data >= 0)
        {
            buffer[data] = 1;
            /* Print the array values */
            for(i = 0; i < 10; i++)
            {
                printIntLine(buffer[i]);
            }
        }
        else
        {
            printLine(""ERROR: Array index is negative."");
        }
    }
}",CWE-121
